1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 
21.8412 28.3005 32.4487 33.134 33.9115 36.3259 39.6185 41.409 42.1323 43.8766 44.9946 45.0233 48.6874 49.4799 50.6075 54.5311 55.246 57.8373 59.1104 62.6867 63.5922 68.2727 69.211 70.848 71.5982 72.3831 74.4825 79.2603 79.5908 79.8072 82.4574 83.0088 89.2703 89.3167 92.0948 92.0948 93.0526 93.0526 95.1133 95.3889 96.6327 98.4669 99.2181 100.053 102.077 102.891 104.63 106.646 107.596 108.435 111.219 111.378 112.559 122.472 122.555 124.848 127.387 128.19 128.453 129.58 129.729 130.681 133.581 133.818 133.819 135.185 135.954 136.087 136.48 139.624 140.012 141.479 142.89 145.403 147.08 147.412 149.009 149.987 150.926 151.192 151.421 153.981 154.906 156.082 156.866 157.516 157.541 158.793 159.566 159.796 159.801 160.012 160.865 160.959 166.851 167.932 168.374 169.501 169.501 170.36 172.139 172.97 173.14 173.14 176.128 177.921 178.818 179.174 179.994 180.027 180.475 180.757 180.819 181.353 182.745 
27.2698 30.9211 51.8218 62.3783 70.3611 71.3142 71.3579 71.6486 71.956 72.4718 73.3292 78.0672 78.3431 79.5822 79.9469 79.9823 80.2687 82.2075 85.5398 88.4315 97.6472 97.8164 100.136 100.542 110.354 110.947 111.37 113.151 114.714 115.476 116.895 119.544 122.381 133.955 136.48 137.531 139.017 139.254 141.037 142.423 144.054 149.86 150.242 150.677 152.091 157.059 157.087 158.467 164.284 164.524 182.4 183.954 184.959 187.094 191.903 193.077 193.311 197 200.946 203.475 205.189 214.107 214.863 215.697 215.697 216.659 216.659 216.788 219.157 221.157 222.385 222.91 223.317 226.962 227.179 227.268 228.759 232.511 232.938 236.544 236.872 237.628 245.555 246.403 246.566 250.1 253.038 253.381 253.619 255.638 256.02 258.988 260.185 260.799 261.827 263.917 264.465 270.512 270.513 271.391 271.923 272.703 276.143 278.465 278.998 279.461 282.481 284.402 284.746 285.77 287.218 287.737 289.489 291.643 291.643 
17.918 40.3302 47.6823 49.983 54.0095 57.3167 57.5021 58.2246 58.7234 59.3038 59.3038 59.8094 59.8094 60.0861 60.1524 60.8729 61.8966 62.1957 62.2561 63.7249 64.328 64.3436 64.4986 65.2483 65.3305 65.6968 66.0229 66.059 66.6945 66.7188 66.8068 66.8612 66.9377 67.2106 67.8968 68.3935 68.4987 68.6239 68.7634 68.9407 71.1068 71.1068 71.2723 71.4443 72.4634 74.1145 74.5811 74.7743 75.6364 76.0595 77.2695 77.3201 77.4811 78.8654 78.9635 79.1635 79.8536 79.8536 79.8879 80.8879 80.9273 80.9915 81.5328 81.8904 82.1797 82.5591 83.9677 83.999 84.4827 84.8016 85.76 85.8194 86.4961 86.9103 87.1418 87.3198 87.8016 87.9847 88.7537 88.7537 88.8474 89.2212 90.0217 92.0395 92.6527 93.2607 94.5526 94.9877 94.9877 95.7003 95.7136 97.0525 98.7128 99.1033 99.5434 100.487 101.264 102.772 102.912 103.469 103.567 103.575 103.879 103.879 103.879 103.899 103.899 103.899 104.016 104.069 104.764 104.764 106.405 107.451 107.594 
12.6378 22.8431 29.9096 32.3757 32.443 32.5048 32.7055 33.0565 37.2389 37.92 40.851 42.3858 42.9896 50.6075 50.6222 53.9367 54.5519 54.9276 57.4498 57.4498 58.2596 58.4042 58.4042 58.511 58.6416 61.96 62.4381 63.4692 63.5589 65.751 66.5146 66.6667 66.7407 66.7886 70.3043 70.3296 71.581 73.0713 76.8606 79.7594 83.7402 84.7579 88.183 89.4404 90.0479 90.9865 92.3928 92.8605 95.7003 96.0572 96.6775 98.5216 100.649 100.745 101.587 102.385 104.261 107.195 107.913 109.417 111.979 112.507 113.132 113.576 116.936 117.044 117.488 118.673 119.358 119.826 120.002 121.845 124.031 124.644 124.879 125.212 125.35 130.672 132.846 133.419 133.823 133.823 133.989 134.514 134.685 136.21 138.057 138.131 138.14 138.14 140.299 141.618 143.636 143.712 144.123 144.452 144.562 144.9 145.201 145.231 145.921 146.817 147.95 148.411 148.543 149.862 150.023 150.538 152.787 154.803 155.09 155.959 156.049 156.526 157.764 
5.32727 11.2087 11.3431 11.8508 12.4122 13.4723 13.8111 13.9032 20.2035 20.2553 20.2553 20.2784 20.8887 20.8887 20.8946 22.3098 23.6732 24.0876 24.7765 29.98 31.7553 32.011 32.8768 33.5792 34.6042 35.3637 35.7686 37.272 38.4513 40.7485 41.3437 43.5788 45.7365 48.1781 49.242 49.7792 51.4079 51.4225 51.7188 52.855 56.2253 57.1858 57.2268 58.6302 62.9814 63.5676 64.4986 65.2927 65.5156 65.9979 67.3483 67.3483 68.7502 69.7526 69.7526 70.093 70.3043 72.8387 72.8914 73.2056 73.5157 73.5317 74.9612 75.7775 76.0055 76.9366 78.1981 78.8138 80.2348 81.2741 82.2344 82.4949 82.5081 82.8056 83.5325 83.7967 85.183 87.967 88.2989 88.8294 88.8316 89.2999 90.06 90.06 91.3846 91.4926 92.8059 92.8059 93.3581 94.0273 95.9991 96.6332 96.7551 96.8237 97.3016 98.0341 98.5164 98.6437 99.6993 99.8055 101.302 102.012 102.205 102.46 102.46 102.46 102.499 102.499 102.499 102.664 103.597 103.597 106.646 107.489 107.699 
74.1491 76.0164 78.3495 78.8849 81.4381 91.4644 91.6284 95.232 95.2933 95.7889 102.485 103.952 119.957 126.402 130.94 134.776 136.152 136.931 139.254 143.994 145.087 146.319 149.358 154.136 155.182 157.843 161.311 161.926 163.948 166.529 183.415 194.928 200.823 201.454 203.473 204.207 213.044 216.164 216.894 217.802 219.549 220.135 229.95 230.9 231.355 239.713 244.78 246.329 250.439 250.495 252.869 255.588 267.917 269.512 279.211 285.922 287.118 294.163 294.96 295.798 298.134 298.306 300.158 305.893 306.409 315.636 317.471 317.889 320.432 320.432 321.384 321.384 323.028 323.57 324.924 327.395 329.067 329.382 330.679 334.416 335.842 338.425 339.153 342.921 345.791 349.375 349.817 350.015 352.173 355.522 356.211 356.403 357.212 358.287 360.446 361.601 363.929 367.266 372.334 372.783 373.181 374.489 375.792 375.882 377.878 381.615 382.534 383.257 385.743 386.94 387.2 388.534 392.982 394.921 396.124 
22.6675 26.6598 27.5872 29.8416 31.8253 32.1244 35.5172 39.1583 41.3513 47.3879 48.9309 54.5765 59.5548 62.4815 62.6186 63.9789 64.7378 68.7033 71.2682 72.4718 73.865 74.6953 79.4129 81.5571 82.7319 86.5636 86.9724 92.2669 99.2181 100.345 106.881 111.245 113.466 114.937 117.356 122.297 123.113 124.006 124.466 126.98 135.745 136.931 137.584 138.057 154.759 155.712 156.4 157.525 159.559 160.28 160.712 161.294 162.77 167.517 167.576 170.056 173.854 178.88 181 186.082 186.083 189.469 189.469 190.459 190.459 191.393 192.181 194.315 194.693 197.229 198.871 199.398 200.24 201.242 203.243 203.627 209.471 218.732 220.475 222.378 224.883 224.954 225.079 225.143 227.587 228.504 231.538 231.935 232.122 233.903 234.659 236.429 242.634 244.974 245.165 245.597 247.001 247.434 249.208 251.04 252.192 252.902 253.888 257.349 257.927 258.219 258.678 263.756 266.091 266.123 267.569 267.569 268.165 269.593 270.352 
1.41421 2.44949 3.74166 3.74166 3.74166 3.75 5.09902 5.20683 5.20683 5.57773 5.74456 6.245 6.24535 6.48074 6.48074 6.49158 6.56591 7.07107 7.94969 8.18705 8.60233 8.61684 8.83176 8.88819 8.91199 9.49724 10.7704 13 13.7532 13.7532 14.2215 14.4019 15.8976 15.8976 15.8976 15.8976 16.1277 17.8434 17.8434 18.5574 18.5574 18.5574 18.6185 18.9966 19.1574 19.9092 19.9092 19.9092 19.9769 21.0445 21.7284 22.2591 22.9183 25.1839 25.556 25.9627 27.7379 30.5342 30.5342 30.6022 32.3439 32.3439 34.2968 34.3448 34.4005 34.8193 35.5113 36.2152 36.641 37.6047 38.3518 39.4698 39.8191 41.8878 43.9495 44.2257 45.5895 45.6567 45.6859 46.8703 46.8943 46.9935 47.5506 48.5148 51.8282 51.8282 52.9858 53.3821 54.6451 55.2947 55.2947 55.7363 56.3372 59.1185 59.6972 63.8342 64.3698 64.7712 65.0081 68.5714 68.616 69.4948 69.7006 70.597 72.7391 75.8748 77.5828 78.5831 80.0117 82.8975 88.5725 88.5893 92.2013 94.3108 94.595 
0 1.0198 1.0198 9.9254 11.1202 13.9562 15.059 16.2021 16.6655 17.5 18.1548 20.2553 22.7633 23.8982 25.0083 25.238 25.9051 27.7431 31.7139 32.3445 33.6544 35.2298 35.3882 37.1521 37.9327 38.5777 40.7736 41.783 43.2191 46.8365 47.9645 48.31 49.7096 55.3354 56.5811 57.0077 57.4509 57.9799 58.4042 59.3038 61.4588 63.2291 63.4297 63.7417 64.9895 68.6117 68.837 69.274 69.448 69.9933 70.1821 74.9774 75.2254 77.1643 77.2877 77.5635 78.0067 78.0067 78.8971 79.0981 81.8223 82.1597 82.1597 82.8344 84.1934 84.4812 84.9194 85.073 86.672 87.6561 87.7184 89.1625 89.45 89.6787 90.0133 90.1625 91.4686 92.2117 93.0526 93.1973 93.925 94.4667 95.1572 97.2633 99.1835 99.6066 100.26 100.676 101.587 101.99 102.771 102.771 103.298 103.924 103.924 106.273 108.471 108.55 108.701 109.227 109.677 109.858 111.824 111.837 112.004 112.052 112.468 112.592 113.16 113.452 113.943 114.998 114.998 114.998 115.189 
10.1379 20.6513 25.4026 26.2807 28.3005 29.3902 29.9096 33.4285 36.5368 38.7933 39.1732 44.5557 45.2562 46.5323 47.9601 52.7905 53.3224 53.4397 58.3197 58.7176 60.9833 62.7952 63.1958 64.2819 65.9633 71.431 74.831 75.9362 77.8865 77.8865 78.8971 78.8971 80.2789 81.5897 82.804 83.0234 84.4937 88.5789 88.9632 89.3917 90.5445 91.3355 92.0703 93.2763 93.3581 93.5329 93.5979 100.054 108.434 108.813 110.213 111.061 111.587 112.456 113.466 114.334 115.03 116.669 118.36 118.816 118.823 119.824 120.851 121.584 122.494 124.897 125.929 127.502 132.866 133.735 134.774 135.248 136.335 138.17 139.588 141.037 141.486 141.995 142.008 142.084 142.188 143.261 143.716 145.249 147.267 147.958 147.988 148.404 152.009 152.502 154.032 155.509 156.145 156.609 156.609 157.665 159.033 159.971 160.92 160.92 163.537 165.077 165.809 166.467 167.39 167.721 167.825 168.04 168.668 168.68 169.97 170.614 170.669 170.757 170.807 
