k auc f1
--------------------run1-----------------
223 0.39319069451519784 0.28205128205128205
224 0.3794786890813381 0.2692307692307692
225 0.37387502122601457 0.23076923076923078
226 0.35736118186449317 0.21794871794871795
227 0.34984717269485477 0.21794871794871795
228 0.3418237391747325 0.20512820512820512
229 0.35421973170317544 0.19230769230769232
Best-K=8 0.6934538970962811 0.48717948717948717 

--------------------run2-----------------
1 0.4419680760740363 0.2948717948717949
2 0.5415180845644422 0.3974358974358974
3 0.5892341653931058 0.4358974358974359
4 0.6321107148921719 0.47435897435897434
5 0.6583885209713024 0.48717948717948717
6 0.6685345559517745 0.48717948717948717
7 0.6903973509933775 0.48717948717948717
8 0.6929869247750042 0.5
9 0.6934114450670742 0.5128205128205128
10 0.6914586517235524 0.5128205128205128
11 0.6895907624384445 0.5
12 0.6881473934454067 0.5
13 0.6937510613007302 0.5
14 0.6881473934454067 0.5
15 0.6890388860587536 0.5128205128205128
16 0.6861946001018848 0.5
17 0.6918407199864153 0.48717948717948717
18 0.695916114790287 0.5
19 0.6860672440142639 0.48717948717948717
20 0.6787654949906605 0.48717948717948717
21 0.6787230429614536 0.5
22 0.6685345559517745 0.5
23 0.6773221259976226 0.5
24 0.6775768381728646 0.5128205128205128
25 0.6795296315163865 0.5256410256410257
26 0.6776192902020717 0.5256410256410257
27 0.6793598233995586 0.5256410256410257
28 0.6749872643912379 0.5
29 0.674138223807098 0.5
30 0.672737306843267 0.5
31 0.673246731193751 0.5128205128205128
32 0.6752844285956868 0.5128205128205128
33 0.6788503990490745 0.5
34 0.6675581592800135 0.47435897435897434
35 0.6663695024622177 0.47435897435897434
36 0.6639072847682119 0.48717948717948717
37 0.6685770079809814 0.5
38 0.6725250466972321 0.5128205128205128
39 0.6713788419086433 0.5
40 0.6701052810324334 0.48717948717948717
41 0.6685345559517745 0.48717948717948717
42 0.6776617422312786 0.5
43 0.673161827135337 0.5
44 0.67439293598234 0.5
45 0.6713363898794362 0.46153846153846156
46 0.672822210901681 0.47435897435897434
47 0.6710816777041944 0.46153846153846156
48 0.6723127865511972 0.47435897435897434
49 0.6666242146374597 0.48717948717948717
50 0.6605111224316522 0.48717948717948717
51 0.6493037867210053 0.5128205128205128
52 0.6423416539310579 0.5
53 0.6367804381049413 0.47435897435897434
54 0.6292664289353032 0.48717948717948717
55 0.6235778570215657 0.47435897435897434
56 0.6131346578366446 0.4230769230769231
57 0.6128799456614026 0.41025641025641024
58 0.6107573442010528 0.4358974358974359
59 0.607997962302598 0.4358974358974359
60 0.6042621837323824 0.4230769230769231
61 0.6057480047546273 0.41025641025641024
62 0.6032857870606214 0.4358974358974359
63 0.6024791985056887 0.4358974358974359
64 0.6016301579215486 0.41025641025641024
65 0.6037103073526914 0.3974358974358974
66 0.6036254032942775 0.3974358974358974
67 0.6001018848700969 0.41025641025641024
68 0.6021395822720326 0.3974358974358974
69 0.6029886228561725 0.38461538461538464
70 0.6043470877907965 0.41025641025641024
71 0.6003141450161318 0.41025641025641024
72 0.5969179826795721 0.4230769230769231
73 0.5957293258617762 0.4230769230769231
74 0.5905926303277297 0.4230769230769231
75 0.5916539310579045 0.4230769230769231
76 0.5960689420954322 0.4230769230769231
77 0.5878332484292749 0.4230769230769231
78 0.5817626082526745 0.41025641025641024
79 0.576583460689421 0.4230769230769231
80 0.5714467651553744 0.41025641025641024
81 0.5660553574460859 0.41025641025641024
82 0.5626167430803193 0.41025641025641024
83 0.5586687043640686 0.41025641025641024
84 0.5502632025810834 0.41025641025641024
85 0.5493292579385295 0.41025641025641024
86 0.5416454406520632 0.3974358974358974
87 0.5401171676006112 0.41025641025641024
88 0.5379521141110545 0.4230769230769231
89 0.5334946510443199 0.41025641025641024
90 0.533197486839871 0.41025641025641024
91 0.5368483613516727 0.4230769230769231
92 0.5380370181694685 0.4230769230769231
93 0.5422822210901681 0.4230769230769231
94 0.5387162506367804 0.4230769230769231
95 0.5371030735269146 0.4230769230769231
96 0.5386737986075734 0.41025641025641024
97 0.5384615384615384 0.4358974358974359
98 0.5317541178468331 0.4230769230769231
99 0.5266598743419936 0.358974358974359
100 0.5243250127356087 0.358974358974359
101 0.5196128374936322 0.3974358974358974
102 0.5187637969094923 0.3974358974358974
103 0.5149431142808627 0.37179487179487186
104 0.5076413652572593 0.358974358974359
105 0.5077687213448803 0.358974358974359
106 0.5056885719137374 0.3333333333333333
107 0.5089149261334691 0.32051282051282054
108 0.5141789777551367 0.3333333333333333
109 0.5149855663100696 0.3333333333333333
110 0.5164289353031075 0.34615384615384615
111 0.5140516216675157 0.358974358974359
112 0.5163015792154865 0.358974358974359
113 0.5231788079470199 0.34615384615384615
114 0.5262353540499236 0.34615384615384615
115 0.5260655459330956 0.34615384615384615
116 0.521565630837154 0.358974358974359
117 0.521098658515877 0.358974358974359
118 0.5156647987773815 0.358974358974359
119 0.5161742231278655 0.37179487179487186
120 0.5199949057564951 0.358974358974359
121 0.5203769740193581 0.358974358974359
122 0.5191883172015622 0.358974358974359
123 0.5166411954491426 0.37179487179487186
124 0.5174902360332824 0.3974358974358974
125 0.5158770589234165 0.3974358974358974
126 0.5171930718288335 0.38461538461538464
127 0.5186364408218713 0.3974358974358974
128 0.5187213448802852 0.3974358974358974
129 0.5182968245882154 0.3974358974358974
130 0.5178298522669383 0.3974358974358974
131 0.5202920699609441 0.41025641025641024
132 0.5241127525895738 0.4230769230769231
133 0.522881643742571 0.4230769230769231
134 0.5224146714212939 0.4230769230769231
135 0.5247495330276788 0.4358974358974359
136 0.5175751400916964 0.41025641025641024
137 0.5158346068942095 0.41025641025641024
138 0.5141789777551368 0.4358974358974359
139 0.511462047885889 0.4358974358974359
